Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00    14952     0.00     0.00  std::move_iterator<int*>::move_iterator(int*)
  0.00      0.00     0.00    14952     0.00     0.00  unsigned int std::allocator_traits<std::allocator<vec<3u, int> > >::_S_max_size<std::allocator<vec<3u, int> > const, void>(std::allocator<vec<3u, int> > const&, int)
  0.00      0.00     0.00    14952     0.00     0.00  std::allocator_traits<std::allocator<vec<3u, int> > >::max_size(std::allocator<vec<3u, int> > const&)
  0.00      0.00     0.00    14952     0.00     0.00  unsigned int std::allocator_traits<std::allocator<int> >::_S_max_size<std::allocator<int> const, void>(std::allocator<int> const&, int)
  0.00      0.00     0.00    14952     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.00     0.00    14952     0.00     0.00  std::vector<vec<3u, float>, std::allocator<vec<3u, float> > >::operator[](unsigned int)
  0.00      0.00     0.00    14952     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned int)
  0.00      0.00     0.00    14952     0.00     0.00  vec<3u, int>* std::__addressof<vec<3u, int> >(vec<3u, int>&)
  0.00      0.00     0.00    14952     0.00     0.00  std::_Miter_base<std::move_iterator<int*> >::iterator_type std::__miter_base<std::move_iterator<int*> >(std::move_iterator<int*>)
  0.00      0.00     0.00    14952     0.00     0.00  std::move_iterator<vec<3u, int>*> std::__make_move_if_noexcept_iterator<vec<3u, int>*, std::move_iterator<vec<3u, int>*> >(vec<3u, int>*)
  0.00      0.00     0.00    14952     0.00     0.00  std::move_iterator<int*> std::__make_move_if_noexcept_iterator<int*, std::move_iterator<int*> >(int*)
  0.00      0.00     0.00    14952     0.00     0.00  __gnu_cxx::__enable_if<std::__is_integer<int>::__value, double>::__type std::abs<int>(int)
  0.00      0.00     0.00    14952     0.00     0.00  bool std::operator==<vec<3u, int>*>(std::move_iterator<vec<3u, int>*> const&, std::move_iterator<vec<3u, int>*> const&)
  0.00      0.00     0.00    14952     0.00     0.00  bool std::operator!=<vec<3u, int>*>(std::move_iterator<vec<3u, int>*> const&, std::move_iterator<vec<3u, int>*> const&)
